x,y,z
198,891,-429
120,775,-551
-1,697,-656
-148,685,-717
-380,764,-599
-457,756,-426
-549,728,-265
-658,740,-201
-712,840,-341
-632,794,-377
-562,677,-330
-551,586,-253
-626,738,-96
-622,895,144
-531,987,586
-41,856,1420
140,747,1280
49,747,720
-298,868,86
-814,983,-156
-660,821,143
-350,649,406
-96,617,509
-126,853,280
-280,868,83
-371,790,-54
-285,744,-88
-183,822,-69
-72,906,-54
37,991,-38
133,1225,-30
72,1329,-36
-20,1403,5
-72,1465,136
21,1357,486
39,1077,510
-46,776,381
-195,640,180
-304,878,-23
-207,1010,33
-87,1090,109
-6,1160,118
0,1245,-69
-53,1199,-139
-131,1124,-164
-256,989,-270
-259,908,-364
-247,833,-422
-258,804,-418
-382,836,-326
-460,801,-292
-527,735,-261
-561,679,-214
-409,619,17
-253,653,215
-174,795,392
-404,1185,458
-480,1210,449
-385,1116,487
-201,1016,502
-136,958,146
-257,908,-108
-336,829,-248
-314,785,-237
-111,869,-24
-22,888,27
35,859,13
52,842,-52
-51,974,-219
-112,1039,-241
-114,1049,-187
-54,1039,-78
46,1111,110
11,1173,116
-48,1201,75
-35,1133,15
51,1096,16
132,1114,18
168,1197,25
218,1339,133
309,1292,206
400,1189,219
418,1112,18
297,1180,-88
297,1225,-142
339,1181,-178
272,911,-343
150,790,-414
34,691,-428
-57,605,-419
-226,612,-513
-313,750,-564
-390,897,-538
-451,969,-435
-523,882,-181
-532,813,-55
-524,757,97
-501,784,410
-508,889,520
-512,972,642
-481,953,806
-355,722,874
-378,720,546
-479,833,94
-573,944,-216
-498,758,-80
-386,578,53
-281,518,57
-177,587,-18
-24,783,-172
-22,850,-261
-39,932,-357
67,1071,-374
190,1079,-266
299,1076,-143
359,1111,-67
360,1368,-115
372,1501,-160
419,1518,-135
482,1392,-22
515,1070,195
442,1050,173
319,1102,108
110,1163,93
87,1136,94
91,1077,43
86,990,-50
59,857,-307
49,856,-475
16,867,-631
-59,849,-725
-257,765,-728
-314,761,-696
-339,789,-657
-363,818,-609
-432,832,-500
-428,857,-423
-392,897,-326
-369,904,-246
-479,781,-187
-572,754,-115
-631,803,26
-583,1043,459
-463,1094,770
-298,990,1025
-160,778,980
-238,658,47
-387,772,-160
-471,799,18
-436,701,289
-157,630,280
-48,769,202
-21,932,202
-143,1131,101
-169,1153,18
-121,1111,40
-33,1031,147
15,996,184
-46,1046,84
-98,1049,15
-94,976,13
35,872,5
104,957,-83
179,1099,-184
280,1224,-217
499,1317,19
518,1318,150
440,1293,172
203,1179,-72
177,1127,-174
215,1065,-190
249,964,-160
145,764,-223
70,784,-312
39,865,-368
33,926,-374
-96,919,-379
-231,948,-400
-349,1019,-385
-418,1089,-315
-494,1107,-165
-553,1052,-148
-592,977,-136
-482,926,17
-401,946,160
-377,908,337
-398,778,544
-364,577,883
-288,659,884
-247,773,740
-307,789,508
-604,627,79
-630,660,-38
-510,754,-95
-161,766,-74
-79,761,-41
-48,861,-51
-32,1014,-111
-31,1070,-144
-30,1006,-36
17,997,106
114,1059,209
206,1187,183
139,1179,116
65,1127,68
43,1061,46
89,1038,49
77,1098,81
42,1167,123
35,1204,143
232,1157,89
343,1127,65
353,1133,53
140,1183,-37
76,1152,-135
65,1079,-241
49,1003,-336
-101,918,-481
-163,879,-530
-181,830,-555
-211,806,-575
-280,861,-591
-367,938,-598
-447,1008,-569
-559,979,-343
-570,861,-184
-521,748,-52
-421,720,28
-291,858,81
-335,865,83
-394,797,91
-397,728,134
-261,862,342
-254,1014,439
-328,1083,481
-429,1020,484
-365,817,546
-168,871,580
-18,1001,519
-57,1074,364
-521,795,120
-605,640,64
-500,648,-28
-122,871,-162
0,867,-89
59,832,-9
63,866,-15
-8,1027,-152
-14,1018,-138
18,996,-89
140,1183,-71
202,1288,-67
241,1282,-35
236,1193,-5
199,1141,22
258,1198,101
356,1234,222
420,1224,311
317,1128,249
226,1104,174
176,1115,111
178,1078,-44
157,974,-147
72,878,-256
-71,844,-370
-323,854,-520
-356,818,-498
-355,782,-434
-369,794,-384
-479,942,-374
-526,983,-336
-543,960,-252
-540,895,-153
-500,857,-15
-451,911,31
-373,950,66
-283,937,80
-193,911,115
-221,1009,200
-265,1155,350
-236,1189,721
-143,1007,740
-63,828,522
-73,755,150
-401,687,-259
-531,555,-225
-508,460,-234
-347,496,-352
57,772,-510
193,882,-467
267,983,-459
239,1180,-589
187,1238,-543
172,1258,-384
220,1246,-210
377,1209,-127
364,1209,-167
269,1187,-171
159,1130,-131
151,1130,-58
244,1214,-16
329,1247,88
357,1182,226
250,1104,182
181,1208,-28
134,1287,-195
100,1234,-237
0,929,-295
-70,886,-485
-128,919,-697
-185,941,-764
-208,910,-648
-228,861,-531
-232,772,-448
-224,534,-437
-265,527,-513
-340,628,-586
-434,767,-596
-668,887,-389
-757,886,-215
-746,897,-33
-409,922,234
-279,891,333
-297,863,447
-423,893,546
-567,1090,476
-492,1101,394
-342,1009,415
-178,902,517
-235,987,427
-513,1043,149
-753,940,-134
-778,718,-297
-287,502,-201
-52,571,-61
46,652,26
-161,775,-124
-313,832,-277
-356,855,-371
-270,848,-383
18,939,-321
158,1039,-274
318,1123,-190
456,1213,-83
415,1598,71
326,1773,154
329,1752,271
398,1506,362
305,974,192
177,981,13
148,1097,-103
