x,y,z
17,793,-604
-4,727,-624
-1,712,-593
15,725,-530
3,670,-465
-39,618,-524
-99,593,-647
-175,589,-793
-374,536,-898
-468,523,-822
-534,562,-724
-565,642,-649
-540,778,-580
-493,805,-562
-429,818,-540
-363,829,-500
-320,864,-323
-364,881,-221
-430,904,-146
-474,949,-77
-323,1096,144
-155,1127,139
-53,1088,-113
-272,835,-836
-425,732,-767
-434,728,-388
-292,804,-2
-42,895,16
-109,866,-190
-233,847,-330
-214,886,-356
-64,903,-333
60,908,-314
96,924,-296
-30,1066,-261
-98,1167,-217
-123,1231,-140
-95,1231,-57
97,1088,-43
197,987,-138
229,872,-253
175,747,-317
35,617,-196
78,697,-133
172,861,-152
231,1042,-220
129,1285,-242
79,1367,-205
105,1426,-188
268,1383,-205
289,1318,-233
246,1267,-291
176,1205,-368
92,946,-494
94,815,-563
98,746,-658
77,728,-757
-63,683,-821
-148,632,-767
-223,596,-696
-294,596,-634
-453,642,-517
-525,646,-461
-577,626,-443
-614,588,-474
-657,538,-564
-653,576,-572
-622,645,-557
-573,704,-518
-481,748,-362
-472,792,-291
-492,899,-233
-444,1297,175
-294,1447,490
-135,1403,558
-115,1136,210
-554,540,-625
-687,529,-454
-601,693,-57
-401,883,180
-300,996,-12
-400,957,-64
-458,920,-17
-427,890,14
-274,788,-49
-219,755,-19
-173,766,59
-129,800,130
-163,753,67
-222,677,-58
-267,625,-238
-206,710,-544
-122,825,-531
-42,940,-418
20,1027,-318
97,1139,-415
123,1177,-508
165,1188,-517
247,1167,-435
467,1193,-219
477,1317,-186
384,1440,-226
218,1245,-390
268,980,-452
332,786,-519
307,730,-600
45,871,-624
-22,989,-522
-5,1095,-428
123,1023,-460
166,818,-525
163,595,-582
105,442,-650
-67,383,-839
-125,378,-898
-177,362,-917
-251,375,-921
-433,597,-899
-484,743,-846
-490,845,-774
-460,878,-697
-351,766,-545
-316,692,-492
-311,657,-468
-328,663,-452
-368,723,-328
-381,813,-211
-374,989,-65
-322,1188,71
-164,1123,-103
-194,852,-489
-316,641,-845
-398,703,-698
-215,799,-330
25,833,-76
185,844,-74
51,1030,-517
-96,1152,-596
-154,1195,-458
3,981,-81
88,819,-112
128,710,-244
146,693,-341
174,878,-258
167,969,-189
147,1003,-180
140,986,-231
163,930,-333
154,922,-312
140,928,-258
159,942,-209
266,1010,-185
259,1073,-213
193,1160,-267
110,1258,-331
54,1362,-355
78,1295,-302
112,1158,-264
166,932,-414
166,916,-561
145,920,-672
114,897,-709
79,756,-658
59,677,-646
11,609,-655
-62,552,-667
-228,493,-689
-303,505,-726
-379,541,-776
-520,618,-797
-576,637,-752
-620,652,-691
-649,674,-620
-607,736,-429
-539,765,-334
-477,787,-273
-454,800,-242
-496,799,-186
-501,809,-154
-480,846,-138
-440,915,-117
-269,1090,30
-135,1132,-6
-52,1112,-272
-295,932,-899
-489,855,-764
-534,850,-363
-393,926,0
-76,1054,24
-120,991,-100
-244,889,-151
-334,833,-152
-260,920,-229
-145,958,-243
-16,954,-164
95,930,-34
156,893,10
86,874,-70
-16,862,-107
-146,883,-74
-144,914,-145
-138,957,-267
-162,1001,-350
-203,964,-232
-125,878,-109
1,820,-20
107,833,17
155,964,12
166,1023,-3
196,1100,-39
196,1360,-238
123,1484,-369
30,1515,-441
-31,1385,-406
28,838,-297
76,725,-446
69,789,-693
12,883,-872
-90,741,-779
-103,618,-686
-112,565,-666
-140,553,-697
-311,475,-765
-434,440,-805
-546,441,-855
-632,457,-886
-692,504,-753
-663,604,-594
-621,762,-442
-578,962,-269
-553,935,-195
-506,878,-112
-461,838,-57
-474,776,-83
-502,742,-67
-475,756,47
-352,854,246
6,1099,276
-7,1088,-180
-221,976,-775
-614,797,-1026
-496,841,-578
-243,938,-126
-47,1006,67
-129,924,-234
-239,856,-374
-243,846,-343
-9,956,-7
46,1014,52
3,1086,-14
-77,1178,-120
-68,1177,-82
-3,1017,27
3,858,59
-68,784,-36
-231,766,-292
-221,722,-297
-145,685,-253
-13,704,-212
292,930,-138
302,1082,-108
157,1208,-125
-45,1271,-187
-136,1175,-238
-41,1087,-198
30,1029,-170
59,1085,-242
55,1187,-298
36,1261,-313
16,1233,-276
59,937,-279
99,831,-450
110,785,-695
82,757,-902
-50,670,-976
-129,618,-903
-199,559,-832
-304,450,-779
-367,433,-778
-445,451,-767
-525,496,-733
-644,612,-626
-671,666,-570
-671,721,-514
-645,782,-467
-520,845,-428
-437,815,-417
-381,763,-384
-375,735,-290
-384,862,211
-311,953,424
-211,996,334
-164,999,-90
-342,1033,-809
-443,1052,-660
-436,1027,-342
-181,915,-52
-105,902,-54
-113,916,-32
-152,935,-9
-172,971,-134
-185,994,-207
-213,1014,-205
-223,1027,-145
-139,1018,-46
-109,994,-31
-123,971,-15
-195,958,13
-201,923,12
-192,844,0
-175,760,-26
-88,782,-62
-31,876,-21
-2,959,47
-20,1005,87
-117,972,6
-121,888,-41
-72,788,-57
11,732,-68
138,895,-141
135,1045,-159
94,1167,-140
44,1259,-118
51,1408,-224
104,1409,-337
163,1317,-428
279,987,-523
304,824,-611
254,679,-751
125,562,-883
-171,443,-930
-270,420,-894
-349,412,-886
-420,433,-907
-511,543,-914
-519,583,-860
-513,607,-771
-483,681,-562
-461,734,-468
-436,772,-378
-406,786,-285
-334,772,-139
-314,768,-141
-318,787,-204
-333,856,-262
-240,1115,-77
-101,1172,8
10,1112,-154
-24,983,-539
-494,799,-849
-582,779,-576
-400,784,-340
170,812,-475
202,828,-556
107,875,-506
68,960,-425
343,1024,-445
426,961,-421
363,929,-323
241,973,-245
224,1075,-335
286,1055,-339
307,1023,-234
293,1008,-107
325,1049,-145
373,1057,-229
402,1011,-232
343,833,-102
281,816,-119
243,866,-175
243,935,-188
273,1026,-80
234,1095,-106
161,1173,-210
116,1122,-308
185,1004,-266
252,928,-280
260,926,-402
175,903,-714
154,798,-778
123,680,-806
53,594,-834
-110,498,-860
-168,487,-859
-241,545,-868
-335,673,-863
-437,911,-694
-416,924,-587
-386,887,-538
-367,848,-536
-308,821,-470
-273,792,-356
-254,739,-195
-242,686,-16
-229,735,96
-263,874,-85
-321,1040,-342
-324,1165,-486
-250,1086,-302
-185,969,-111
-166,858,-70
